created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-03-07 08:25:04 UTC,1,0.00000,1,28,,,,,,,
2021-03-07 08:25:22 UTC,2,0.00000,6,27,,,,,,,
2021-03-07 08:25:40 UTC,3,0.00000,11,24,,,,,,,
2021-03-07 08:25:58 UTC,4,0.00000,16,28,,,,,,,
2021-03-07 08:26:16 UTC,5,0.00000,21,28,,,,,,,
2021-03-07 08:26:33 UTC,6,0.00000,26,28,,,,,,,
2021-03-07 08:26:51 UTC,7,0.00000,31,6,,,,,,,
2021-03-07 08:27:09 UTC,8,0.00000,36,28,,,,,,,
2021-03-07 08:27:27 UTC,9,0.00000,41,28,,,,,,,
2021-03-07 08:27:45 UTC,10,0.00000,46,28,,,,,,,
2021-03-07 08:28:03 UTC,11,0.00000,51,28,,,,,,,
2021-03-07 08:28:21 UTC,12,0.00000,56,28,,,,,,,
2021-03-07 08:28:38 UTC,13,0.00000,61,28,,,,,,,
2021-03-07 08:28:56 UTC,14,0.00000,66,28,,,,,,,
2021-03-07 08:29:14 UTC,15,0.00000,71,28,,,,,,,
2021-03-07 08:29:32 UTC,16,0.00000,76,28,,,,,,,
2021-03-07 08:29:50 UTC,17,0.00000,81,28,,,,,,,
2021-03-07 08:30:08 UTC,18,0.00000,86,28,,,,,,,
2021-03-07 08:30:26 UTC,19,0.00000,91,28,,,,,,,
2021-03-07 08:30:44 UTC,20,0.00000,96,28,,,,,,,
2021-03-07 08:31:02 UTC,21,0.00000,101,28,,,,,,,
2021-03-07 08:31:20 UTC,22,0.00000,106,28,,,,,,,
2021-03-07 08:31:38 UTC,23,0.00000,111,28,,,,,,,
2021-03-07 08:31:55 UTC,24,0.00000,116,28,,,,,,,
2021-03-07 08:32:13 UTC,25,0.00000,121,28,,,,,,,
2021-03-07 08:32:31 UTC,26,0.00000,126,28,,,,,,,
2021-03-07 08:32:49 UTC,27,0.00000,131,28,,,,,,,
2021-03-07 08:33:07 UTC,28,0.00000,136,27,,,,,,,
2021-03-07 08:33:25 UTC,29,0.00000,141,28,,,,,,,
2021-03-07 08:33:43 UTC,30,0.00000,146,28,,,,,,,
2021-03-07 08:34:01 UTC,31,0.00000,151,28,,,,,,,
2021-03-07 08:34:19 UTC,32,0.00000,156,28,,,,,,,
2021-03-07 08:34:37 UTC,33,0.00000,161,28,,,,,,,
2021-03-07 08:34:55 UTC,34,0.00000,166,28,,,,,,,
2021-03-07 08:35:12 UTC,35,0.00000,171,28,,,,,,,
2021-03-07 08:35:55 UTC,36,80.20625,1,28,,,,,,,
2021-03-07 08:36:12 UTC,37,79.16313,6,28,,,,,,,
2021-03-07 08:36:30 UTC,38,79.09605,11,28,,,,,,,
2021-03-07 08:36:48 UTC,39,66.55574,16,8,,,,,,,
2021-03-07 08:37:06 UTC,40,62.78027,21,7,,,,,,,
2021-03-07 08:37:24 UTC,41,69.33744,26,9,,,,,,,
2021-03-07 08:37:42 UTC,42,76.94881,31,23,,,,,,,
2021-03-07 08:37:59 UTC,43,59.58292,36,6,,,,,,,
2021-03-07 08:38:17 UTC,44,79.03780,41,23,,,,,,,
2021-03-07 08:38:35 UTC,45,78.95641,46,23,,,,,,,
2021-03-07 08:38:53 UTC,46,77.17303,51,19,,,,,,,
2021-03-07 08:39:11 UTC,47,77.01662,56,19,,,,,,,
2021-03-07 08:39:29 UTC,48,77.01662,61,19,,,,,,,
2021-03-07 08:39:47 UTC,49,77.07911,66,19,,,,,,,
2021-03-07 08:40:04 UTC,50,77.07911,71,19,,,,,,,
2021-03-07 08:40:22 UTC,51,76.92308,76,19,,,,,,,
2021-03-07 08:40:40 UTC,52,77.01662,81,19,,,,,,,
2021-03-07 08:40:58 UTC,53,77.20439,86,19,,,,,,,
2021-03-07 08:41:16 UTC,54,63.52087,91,7,,,,,,,
2021-03-07 08:41:34 UTC,55,77.14170,96,19,,,,,,,
2021-03-07 08:41:51 UTC,56,77.17303,101,19,,,,,,,
2021-03-07 08:42:09 UTC,57,77.17303,106,19,,,,,,,
2021-03-07 08:42:27 UTC,58,75.69721,111,19,,,,,,,
2021-03-07 08:42:45 UTC,59,75.72738,116,19,,,,,,,
2021-03-07 08:43:03 UTC,60,77.20439,121,19,,,,,,,
2021-03-07 08:43:20 UTC,61,77.07911,126,19,,,,,,,
2021-03-07 08:43:38 UTC,62,77.14170,131,19,,,,,,,
2021-03-07 08:43:56 UTC,63,75.69721,136,19,,,,,,,
2021-03-07 08:44:14 UTC,64,77.20439,141,19,,,,,,,
2021-03-07 08:44:32 UTC,65,77.26718,146,19,,,,,,,
2021-03-07 08:44:50 UTC,66,77.14170,151,19,,,,,,,
2021-03-07 08:45:08 UTC,67,77.20439,156,19,,,,,,,
2021-03-07 08:45:26 UTC,68,77.14170,161,19,,,,,,,
2021-03-07 08:45:44 UTC,69,86.56440,166,1027,,,,,,,
2021-03-07 08:46:01 UTC,70,78.82883,171,28,,,,,,,
2021-03-07 08:46:19 UTC,71,78.89010,176,29,,,,,,,
2021-03-07 08:46:37 UTC,72,79.78723,181,30,,,,,,,
2021-03-07 08:46:55 UTC,73,81.30081,186,30,,,,,,,
2021-03-07 08:47:13 UTC,74,80.15479,191,29,,,,,,,
2021-03-07 08:47:31 UTC,75,80.80245,196,29,,,,,,,
2021-03-07 08:47:49 UTC,76,86.56512,201,1027,,,,,,,
2021-03-07 08:48:06 UTC,77,76.65772,206,20,,,,,,,
2021-03-07 08:48:24 UTC,78,79.34337,211,29,,,,,,,
2021-03-07 08:48:42 UTC,79,80.29979,216,30,,,,,,,
2021-03-07 08:48:59 UTC,80,80.97166,220,30,,,,,,,
2021-03-07 08:49:17 UTC,81,86.55929,225,1027,,,,,,,
2021-03-07 08:49:36 UTC,82,86.56221,230,1027,,,,,,,
2021-03-07 08:49:54 UTC,83,86.56148,235,1027,,,,,,,
2021-03-07 08:50:12 UTC,84,79.09306,240,30,,,,,,,
2021-03-07 08:50:30 UTC,85,81.03728,245,30,,,,,,,
2021-03-07 08:50:47 UTC,86,79.68127,250,30,,,,,,,
2021-03-07 08:51:05 UTC,87,84.92023,255,132,,,,,,,
2021-03-07 08:51:23 UTC,88,84.62081,260,132,,,,,,,
2021-03-07 08:51:41 UTC,89,86.56512,265,1027,,,,,,,
2021-03-07 08:51:59 UTC,90,80.48781,270,33,,,,,,,
2021-03-07 08:52:17 UTC,91,86.56148,275,1027,,,,,,,
2021-03-07 08:52:36 UTC,92,86.56221,280,1027,,,,,,,
2021-03-07 08:52:54 UTC,93,86.56148,285,1027,,,,,,,
2021-03-07 08:53:12 UTC,94,84.48888,290,131,,,,,,,
2021-03-07 08:53:30 UTC,95,84.55431,295,131,,,,,,,
2021-03-07 08:53:48 UTC,96,80.93070,300,32,,,,,,,
2021-03-07 08:54:06 UTC,97,84.49432,305,131,,,,,,,
2021-03-07 08:54:24 UTC,98,80.12820,310,30,,,,,,,
2021-03-07 08:54:42 UTC,99,79.28118,315,30,,,,,,,
2021-03-07 08:55:00 UTC,100,79.34409,320,30,,,,,,,
2021-03-07 08:55:18 UTC,101,80.75020,325,31,,,,,,,
2021-03-07 08:55:36 UTC,102,79.09306,330,30,,,,,,,
2021-03-07 08:55:51 UTC,103,84.81655,334,132,,,,,,,
2021-03-07 08:56:08 UTC,104,80.43591,338,31,,,,,,,
2021-03-07 08:56:26 UTC,105,80.21391,343,30,,,,,,,
2021-03-07 08:56:44 UTC,106,84.94209,348,132,,,,,,,
2021-03-07 08:57:02 UTC,107,81.40756,353,31,,,,,,,
2021-03-07 08:57:20 UTC,108,80.22775,358,31,,,,,,,
2021-03-07 08:57:38 UTC,109,80.50744,363,33,,,,,,,
2021-03-07 08:57:56 UTC,110,81.36095,368,33,,,,,,,
2021-03-07 08:58:14 UTC,111,86.56221,373,1027,,,,,,,
2021-03-07 09:04:37 UTC,112,0.06038,1,31,31,31,31,,,,
2021-03-07 09:04:55 UTC,113,0.01349,1,31,31,31,31,,,,
2021-03-07 09:05:13 UTC,114,0.00785,1,32,32,32,32,,,,
2021-03-07 09:05:31 UTC,115,0.35235,1,132,132,132,132,,,,
2021-03-07 09:05:49 UTC,116,0.00001,1,7,7,7,7,,,,
2021-03-07 09:06:07 UTC,117,0.02099,1,37,37,37,37,,,,
2021-03-07 09:06:25 UTC,118,0.00217,1,14,14,14,14,,,,
2021-03-07 09:06:43 UTC,119,0.00220,1,18,18,18,18,,,,
2021-03-07 09:07:01 UTC,120,0.00162,1,18,18,18,18,,,,
2021-03-07 09:07:18 UTC,121,0.00128,1,18,18,18,18,,,,
2021-03-07 09:07:36 UTC,122,0.00106,1,18,18,18,18,,,,
2021-03-07 09:07:51 UTC,123,0.00093,1,18,18,18,18,,,,
2021-03-07 09:08:07 UTC,124,0.00082,1,18,18,18,18,,,,
2021-03-07 09:08:22 UTC,125,0.00073,1,18,18,18,18,,,,
2021-03-07 09:08:40 UTC,126,0.00066,1,18,18,18,18,,,,
2021-03-07 09:08:58 UTC,127,0.00065,1,19,19,19,19,,,,
2021-03-07 09:09:16 UTC,128,0.00054,1,18,18,18,18,,,,
2021-03-07 09:09:34 UTC,129,0.00050,1,18,18,18,18,,,,
2021-03-07 09:09:52 UTC,130,0.00046,1,18,18,18,18,,,,
2021-03-07 09:10:11 UTC,131,0.00043,1,18,18,18,18,,,,
2021-03-07 09:10:47 UTC,132,0.03506,1,18,16,14,12,,,,
2021-03-07 09:11:04 UTC,133,0.00780,1,18,16,14,12,,,,
2021-03-07 09:11:22 UTC,134,0.00440,1,18,16,14,12,,,,
2021-03-07 09:11:40 UTC,135,0.00306,1,18,16,14,12,,,,
2021-03-07 09:11:58 UTC,136,0.00235,1,18,16,14,12,,,,
2021-03-07 09:12:16 UTC,137,0.00191,1,18,16,14,12,,,,
2021-03-07 09:12:34 UTC,138,0.00160,1,18,16,14,12,,,,
2021-03-07 09:12:52 UTC,139,0.00138,1,18,16,14,12,,,,
2021-03-07 09:13:09 UTC,140,0.00122,1,18,16,14,12,,,,
2021-03-07 09:13:27 UTC,141,0.00109,1,18,16,14,12,,,,
2021-03-07 09:13:45 UTC,142,0.00098,1,18,16,14,12,,,,
2021-03-07 09:14:03 UTC,143,0.00089,1,18,16,14,12,,,,
2021-03-07 09:14:20 UTC,144,0.00082,1,18,16,14,12,,,,
2021-03-07 09:14:38 UTC,145,0.00076,1,18,16,14,12,,,,
2021-03-07 09:14:56 UTC,146,0.00071,1,18,16,14,12,,,,
2021-03-07 09:15:14 UTC,147,0.00066,1,18,16,14,12,,,,
2021-03-07 09:15:32 UTC,148,0.00062,1,18,16,14,12,,,,
2021-03-07 09:15:50 UTC,149,0.00058,1,18,16,14,12,,,,
2021-03-07 09:16:08 UTC,150,0.00055,1,18,16,14,12,,,,
2021-03-07 09:16:26 UTC,151,0.00052,1,18,16,14,12,,,,
2021-03-07 09:16:43 UTC,152,0.00050,1,18,16,14,12,,,,
2021-03-07 09:17:01 UTC,153,0.00047,1,18,16,14,12,,,,
2021-03-07 09:17:19 UTC,154,0.00045,1,18,16,14,12,,,,
2021-03-07 09:17:37 UTC,155,0.00043,1,18,16,14,12,,,,
2021-03-07 09:17:55 UTC,156,0.00042,1,18,16,14,12,,,,
2021-03-07 09:18:13 UTC,157,0.00040,1,18,16,14,12,,,,
2021-03-07 09:18:30 UTC,158,0.00038,1,18,16,14,12,,,,
2021-03-07 09:18:48 UTC,159,0.00037,1,18,16,14,12,,,,
2021-03-07 09:19:06 UTC,160,0.00036,1,18,16,14,12,,,,
2021-03-07 09:19:24 UTC,161,0.00034,1,18,16,14,12,,,,
2021-03-07 09:19:42 UTC,162,0.00033,1,18,16,14,12,,,,
2021-03-07 09:20:00 UTC,163,0.00032,1,18,16,14,12,,,,
2021-03-07 09:20:18 UTC,164,0.00031,1,18,16,14,12,,,,
2021-03-07 09:20:35 UTC,165,0.00030,1,18,16,14,12,,,,
2021-03-07 09:20:53 UTC,166,0.00029,1,18,16,14,12,,,,
2021-03-07 09:21:11 UTC,167,0.00029,1,18,16,14,12,,,,
2021-03-07 09:21:29 UTC,168,0.00028,1,18,16,14,12,,,,
2021-03-07 09:21:47 UTC,169,0.00027,1,18,16,14,12,,,,
2021-03-07 09:22:05 UTC,170,0.00026,1,18,16,14,12,,,,
2021-03-07 09:22:22 UTC,171,0.03656,1,18,16,14,12,,,,
2021-03-07 09:22:40 UTC,172,0.00610,1,18,16,14,12,,,,
2021-03-07 09:22:58 UTC,173,0.00332,1,18,16,14,12,,,,
2021-03-07 09:23:16 UTC,174,0.00210,1,17,15,13,11,,,,
2021-03-07 09:23:34 UTC,175,0.00174,1,18,16,14,12,,,,
2021-03-07 09:23:51 UTC,176,0.00140,1,18,16,14,12,,,,
2021-03-07 09:24:09 UTC,177,0.00118,1,18,16,14,12,,,,
2021-03-07 09:24:27 UTC,178,0.00101,1,18,16,14,12,,,,
2021-03-07 09:24:45 UTC,179,0.00089,1,18,16,14,12,,,,
2021-03-07 09:25:03 UTC,180,0.00086,1,19,17,15,13,,,,
2021-03-07 09:25:20 UTC,181,0.00066,1,17,15,13,11,,,,
2021-03-07 09:25:38 UTC,182,0.00065,1,18,16,14,12,,,,
2021-03-07 09:32:54 UTC,183,75.91734,1,18,16,14,12,,,,
2021-03-07 09:33:12 UTC,184,74.53416,1,18,16,14,12,,,,
2021-03-07 09:33:30 UTC,185,72.69790,1,18,16,14,12,,,,
2021-03-07 09:33:45 UTC,186,71.54882,1,17,15,13,11,,,,
2021-03-07 09:34:03 UTC,187,71.69971,1,17,15,13,11,,,,
2021-03-07 09:34:19 UTC,188,71.60910,1,17,15,13,11,,,,
2021-03-07 09:34:36 UTC,189,74.07407,1,18,16,14,12,,,,
2021-03-07 09:34:54 UTC,190,71.66948,1,17,15,13,11,,,,
2021-03-07 09:35:12 UTC,191,71.60910,1,17,15,13,11,,,,
2021-03-07 09:35:30 UTC,192,71.60910,1,17,15,13,11,,,,
2021-03-07 09:35:48 UTC,193,71.72996,1,17,15,13,11,,,,
2021-03-07 09:36:06 UTC,194,71.60910,1,17,15,13,11,,,,
2021-03-07 09:36:24 UTC,195,71.42857,1,17,15,13,11,,,,
2021-03-07 09:36:42 UTC,196,73.33909,1,17,15,13,11,,,,
2021-03-07 09:37:00 UTC,197,71.45860,1,17,15,13,11,,,,
2021-03-07 09:37:16 UTC,198,71.51872,1,17,15,13,11,,,,
2021-03-07 09:37:34 UTC,199,165.18425,1,4,2,0,-2,,,,
2021-03-07 09:37:52 UTC,200,38.88889,1,12,10,8,6,,,,
2021-03-07 09:38:10 UTC,201,39.95434,1,12,10,8,6,,,,
2021-03-07 09:38:28 UTC,202,39.93155,1,12,10,8,6,,,,
2021-03-07 09:38:46 UTC,203,40.00000,1,12,10,8,6,,,,
2021-03-07 09:39:04 UTC,204,40.04576,1,12,10,8,6,,,,
2021-03-07 09:39:22 UTC,205,40.09164,1,12,10,8,6,,,,
2021-03-07 09:39:40 UTC,206,36.60769,1,11,9,7,5,,,,
2021-03-07 09:39:58 UTC,207,22.43830,1,8,6,4,2,,,,
2021-03-07 09:42:51 UTC,208,-66.12785,1,9,7,5,3,,,,
2021-03-07 09:43:06 UTC,209,-63.51447,1,9,7,5,3,,,,
2021-03-07 09:43:21 UTC,210,-63.42495,1,9,7,5,3,,,,
2021-03-07 09:43:36 UTC,211,-62.93706,1,9,7,5,3,,,,
2021-03-07 09:43:52 UTC,212,-63.24666,1,9,7,5,3,,,,
2021-03-07 09:44:07 UTC,213,-63.64922,1,9,7,5,3,,,,
2021-03-07 09:44:23 UTC,214,-63.42495,1,9,7,5,3,,,,
2021-03-07 09:44:38 UTC,215,-63.29114,1,9,7,5,3,,,,
2021-03-07 09:45:30 UTC,216,-66.22517,1,9,7,5,3,,,,
2021-03-07 09:45:47 UTC,217,-63.33568,1,9,7,5,3,,,,
2021-03-07 09:46:04 UTC,218,34.23192,1,17,15,13,11,,,,
2021-03-07 09:46:19 UTC,219,49.37459,1,23,21,19,17,,,,
2021-03-07 09:46:35 UTC,220,49.42339,1,23,21,19,17,,,,
2021-03-07 09:46:51 UTC,221,79.40974,1,135,133,131,129,,,,
2021-03-07 09:47:07 UTC,222,29.58580,1,17,15,13,11,,,,
2021-03-07 09:47:23 UTC,223,62.70749,1,44,42,40,38,,,,
2021-03-07 09:47:39 UTC,224,47.66769,1,22,20,18,16,,,,
2021-03-07 09:47:55 UTC,225,34.65347,1,14,12,10,8,,,,
2021-03-07 09:48:11 UTC,226,81.69629,1,135,133,131,129,,,,
2021-03-07 09:48:27 UTC,227,82.09466,1,136,134,132,130,,,,
2021-03-07 09:48:43 UTC,228,81.70139,1,135,133,131,129,,,,
2021-03-07 09:48:59 UTC,229,81.67082,1,135,133,131,129,,,,
2021-03-07 09:49:15 UTC,230,82.07935,1,136,134,132,130,,,,
2021-03-07 09:49:31 UTC,231,81.73197,1,135,133,131,129,,,,
2021-03-07 09:49:47 UTC,232,81.71158,1,135,133,131,129,,,,
2021-03-07 09:50:03 UTC,233,81.69119,1,135,133,131,129,,,,
2021-03-07 09:50:18 UTC,234,82.08445,1,136,134,132,130,,,,
2021-03-07 09:50:34 UTC,235,69.69424,1,35,33,31,29,,,,
2021-03-07 09:50:50 UTC,236,81.64028,1,135,133,131,129,,,,
